
Epoch: 0, loss: 106.63153922557831, time: 6.72231388092041
Epoch: 89, loss: 22.43861873447895, time: 6.464029788970947
Epoch: 90, loss: 22.23897510766983, time: 6.543011665344238
Epoch: 91, loss: 22.058333054184914, time: 6.445131063461304
Epoch: 92, loss: 21.859488129615784, time: 6.668456792831421
Epoch: 93, loss: 21.59453694522381, time: 6.536484003067017
Epoch: 94, loss: 21.24839037656784, time: 6.698234796524048
Epoch: 95, loss: 20.94053979218006, time: 6.592395067214966
Epoch: 96, loss: 20.885139554739, time: 6.514715909957886
Epoch: 97, loss: 20.603644400835037, time: 6.499840021133423
Epoch: 98, loss: 20.433135420084, time: 6.437156915664673
Epoch: 99, loss: 20.172813400626183, time: 6.567898273468018
Epoch: 100, loss: 19.973282277584076, time: 6.504010915756226
Epoch: 101, loss: 19.694513261318207, time: 6.417846202850342
